index,name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
3505454,Android/IOS Developer,"Git
Android
kotlin
Android SDK
REST
websocket
iOS
Swift
Flutter",1500.0,2500.0,USD,Минск,2020-07-27T12:09:57+0300
3506730,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Бишкек,2020-07-27T16:58:05+0300
3506944,IOS разработчик,"iOS
Mac Os
Мобильность",50000.0,150000.0,RUR,Нижний Новгород,2020-07-27T17:59:39+0300
3509848,IOS разработчик,"Swift
Generamba
CocoaPods
Cocoa
RxSwift
RxAlamofire
iOS SDK
UIKit
AutoLayout
MVC
Git
REST
VIPER
Многопоточное программирование
Protocol Oriented Programming
ARC
SQL
ORM
Realm
Unit Testing",50000.0,100000.0,RUR,Владивосток,2020-07-28T19:20:38+0300
3510567,IOS Developer,"Objective-C
Git
iOS
Английский язык
SQLite",130000.0,180000.0,RUR,Новосибирск,2020-07-29T10:20:39+0300
3510705,Senior iOS Developer,"swift
iOS",250000.0,300000.0,RUR,Москва,2020-07-29T10:53:50+0300
3511663,Junior iOS Developer,"Objective-C
iOS
MVC",40000.0,70000.0,RUR,Ростов-на-Дону,2020-07-29T14:24:59+0300
3512056,IOS-разработчик,"ООП
iOS
SQL
MS SQL
SWIFT Alliance
Swift",60000.0,120000.0,RUR,Калининград,2020-07-29T16:07:06+0300
3512058,IOS Developer (Swift; Mid to Senior),"JSON API
REST
Design Patterns
iOS
Swift
UIKit",200000.0,250000.0,RUR,Москва,2020-07-29T16:07:09+0300
3514547,IOS разработчик,"iOS
MVP
MVVM
swift
Objective-C",120000.0,250000.0,RUR,Москва,2020-07-30T15:47:22+0300
3514549,Senior iOS разработчик,"Objective-C
Git
iOS
Atlassian Jira",150000.0,350000.0,RUR,Москва,2020-07-30T15:47:36+0300
3515238,Ведущий web-программист IOS,"UIKit
Objective-C
iOS
C/C++
SWIFT Alliance",200000.0,250000.0,RUR,Москва,2020-07-30T20:19:45+0300
3515286,Mobile Developer (iOS),"iOS
Figma
Swift
Crypto",150000.0,250000.0,RUR,Москва,2020-07-30T22:28:16+0300
3515323,Разработчик Webview приложений (Android/iOS),"ASO
app store optimization
маркетинг приложений
разработка приложений
Android SDK
Swift",60000.0,120000.0,RUR,Москва,2020-07-30T23:42:45+0300
3515892,IOS разработчик,"Swift
Objective-C
iOS
Git",50000.0,100000.0,RUR,Омск,2020-07-31T11:12:26+0300
3515972,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Белгород,2020-07-31T11:36:31+0300
3515973,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Владимир,2020-07-31T11:36:31+0300
3515974,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Ижевск,2020-07-31T11:36:31+0300
3515975,IOS developer Middle,"Objective-C
iOS
Swift",120000.0,150000.0,RUR,Нижний Новгород,2020-07-31T11:36:31+0300
3517268,Middle / Senior iOS developer,"iOS
SWIFT",90000.0,140000.0,RUR,Санкт-Петербург,2020-08-01T01:23:31+0300
3517363,Senior iOS Developer,"HTTP, REST, OAuth, JSON
RxSwiftCommunity
Git
CI (gitlab)
CocoaPods",150000.0,200000.0,RUR,Москва,2020-08-01T11:23:51+0300
3517364,Middle iOS Developer,"Git
Mac Os
RxSwiftCommunity
HTTP,
REST
OAuth
JSON",100000.0,150000.0,RUR,Москва,2020-08-01T11:23:51+0300
3518160,Ведущий iOS разработчик,"Git
iOS
ООП
Design Patterns
Swift",180000.0,250000.0,RUR,Санкт-Петербург,2020-08-02T17:27:20+0300
3519749,Разработчик под iOS,"Java
Git
SQLite
iOS",130000.0,200000.0,RUR,Санкт-Петербург,2020-08-03T11:23:27+0300
3519893,Middle IOS разработчик,"iOS
Разработка ПО
Xcode
Swift
Разработка мобильных приложений",40000.0,70000.0,RUR,Челябинск,2020-08-03T11:43:00+0300
3519979,Senior iOS Developer / Senior iOS-разработчик,"Objective-C
iOS
Swift
Xcode
Git
Websockets
Английский язык",150000.0,180000.0,RUR,Москва,2020-08-03T11:58:25+0300
3520754,IOS Developer,"Git
ООП
Swift
REST
SQL
iOS",80000.0,140000.0,RUR,Санкт-Петербург,2020-08-03T13:17:29+0300
3521384,IOS разработчик,iOS,150000.0,230000.0,RUR,Москва,2020-08-03T15:18:01+0300
3524322,Middle iOS Developer,"Git
Английский язык
MS SQL Server
Java
Android
Apache Cordova",1000.0,2000.0,EUR,Москва,2020-08-04T14:38:42+0300
3524404,Middle IOS разработчик,"Разработка ПО
iOS
SQL
Git
ООП
Objective-C
SOLID
Swift",60000.0,130000.0,RUR,Волгоград,2020-08-04T14:58:59+0300
3525713,IOS Разработчик (remote),"iOS
Swift",70000.0,180000.0,RUR,Новосибирск,2020-08-05T07:18:36+0300
3525714,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Казань,2020-08-05T07:18:36+0300
3525715,IOS Разработчик (remote),"iOS
Swift",45000.0,180000.0,RUR,Нижний Новгород,2020-08-05T07:18:36+0300
3525716,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Волгоград,2020-08-05T07:18:36+0300
3525717,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Омск,2020-08-05T07:18:37+0300
3525718,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Екатеринбург,2020-08-05T07:18:37+0300
3525719,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Самара,2020-08-05T07:18:37+0300
3525720,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Челябинск,2020-08-05T07:18:37+0300
3525721,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Уфа,2020-08-05T07:18:37+0300
3525722,IOS Разработчик (remote),"iOS
Swift",60000.0,180000.0,RUR,Красноярск,2020-08-05T07:18:37+0300
3527962,Senior iOS developer,"Objective-C
iOS",4500.0,5000.0,USD,Минск,2020-08-05T15:46:37+0300
3530212,IOS developer,"iOS
Swift
Xcode
UIKit",80000.0,160000.0,RUR,Казань,2020-08-06T12:06:08+0300
3531263,Senior iOS Developer,"MVC
SQLite
iOS
RxSwift
Realm",2000.0,5000.0,USD,Москва,2020-08-06T15:05:08+0300
3531506,IOS разработчик (SWIFT),"Git
ООП
JSON API
REST
swift
iOS",150000.0,220000.0,RUR,Москва,2020-08-06T15:49:40+0300
3532360,IOS разработчик / iOS Developer,"iOS
Swift
Software Development",1500.0,2000.0,USD,Москва,2020-08-07T05:48:42+0300
3534430,Мобильный разработчик iOS/Android (Mobile Developer),"Qt
C++
Swift
HTML
Java
CSS
MySQL
Kotlin
Git
PHP",60000.0,80000.0,RUR,Санкт-Петербург,2020-08-07T16:40:47+0300
3534639,Специалист Full stack backend + приложения android/ios,"Node.js
Android
iOS
Java",150000.0,200000.0,RUR,Москва,2020-08-07T17:38:37+0300
3534804,IOS разработчик,"iOS
Redmine
Git
Swift",80.0,150000.0,RUR,Самара,2020-08-07T19:08:51+0300
3535495,IOS разработчик,"Objective-C
iOS
Swift",100000.0,250000.0,RUR,Москва,2020-08-08T10:32:42+0300
3535617,Senior Mobile Developer (iOS),"iOS
Figma
Swift
Crypto",200000.0,330000.0,RUR,Москва,2020-08-08T14:24:47+0300
3536155,IOS developer,"Git
ООП
Design Patterns
Unit Testing
Аналитическое мышление
разработка под iOS
swift",1700.0,2500.0,USD,Москва,2020-08-09T14:10:15+0300
3536513,Middle / Senior iOS developer,"Swift
ООП
Git",80000.0,130000.0,RUR,Ульяновск,2020-08-10T01:24:34+0300
3536927,IOS разработчик,"Objective-C
Git
iOS
ООП
Mac Os",180000.0,220000.0,RUR,Санкт-Петербург,2020-08-10T08:39:21+0300
3541380,Senior iOS Developer,"Objective-C
Agile Project Management
Git
iOS
Scrum",200000.0,220000.0,RUR,Новосибирск,2020-08-11T01:12:12+0300
3541969,IOS разработчик,"HTTP
JSON API
Git
ООП
XML
Cистемы управления базами данных",30000.0,90000.0,RUR,Чебоксары,2020-08-11T09:40:59+0300
